名称,商品条码,规格,总销量,销售价,进货价
【规格可选】带盖牛皮纸一次性打包盒 圆形汤碗冰粉碗饭盒外卖纸碗一次性餐盒碗/个,3005761027669,1000ml*1个,0,0.9,0.4
【规格可选】带盖牛皮纸一次性打包盒 圆形汤碗冰粉碗饭盒外卖纸碗一次性餐盒碗/个,3004610598145,1000ml*10个,0,11.5,4
【透明后跟贴】防磨贴女士脚踝贴防磨脚脚后跟贴高跟鞋贴防掉跟半码贴防脱/个（规格随机）,3009870227118,1包（10张）,0,2,0.7
【透明后跟贴】防磨贴女士脚踝贴防磨脚脚后跟贴高跟鞋贴防掉跟半码贴防脱/个（规格随机）,3007146037928,1张,0,0.3,0.1
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3000059680243,3号牛皮船盒*1个,0,0.3,0.2
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3003301544010,3号牛皮船盒*10个,0,2.2,2
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3000629075714,4号牛皮船盒*1个,0,0.4,0.2
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3001593593143,4号牛皮船盒*10个,0,3.3,2
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3004160490968,5号牛皮船盒*1个,0,0.5,0.2
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3000967690013,5号牛皮船盒*10个,0,4.4,2
【防滑无痕】多功能裤夹 裤架防滑夹子衣夹防风家用无痕jk衣架挂衣收纳不锈钢裙夹晾晒裤夹/个,3006498950282,白色*10个,0,12,7
【防滑无痕】多功能裤夹 裤架防滑夹子衣夹防风家用无痕jk衣架挂衣收纳不锈钢裙夹晾晒裤夹/个,3005182758920,白色*1个,0,1.2,0.7
【防磕防碰】L型防撞角 加厚加宽护角桌角保护套桌子包角宝宝婴儿防磕角转角贴/个,3009720458570,防撞角-纯白L型加厚角*4个,0,3.5,2
【防磕防碰】L型防撞角 加厚加宽护角桌角保护套桌子包角宝宝婴儿防磕角转角贴/个,3006279048726,防撞角-纯白L型加厚角*1个,0,0.9,0.5
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,3002627376947,粉色（不含气体）*10,0,8.6,3
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,3000911918019,粉色（不含气体）,0,0.4,0.3
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,3007194944360,银色（不含气体）*10,0,8.6,3
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,3006864202939,银色（不含气体）,0,0.4,0.3
麦里一次性擦眼镜湿巾 眼镜布镜片擦拭湿巾手机屏募清洁湿巾/件（新老包装随机） 清洁布,6973075239818,眼镜擦拭湿巾100张*1盒,0,6.9,2.4
麦里一次性擦眼镜湿巾 眼镜布镜片擦拭湿巾手机屏募清洁湿巾/件（新老包装随机） 清洁布,3000752760860,眼镜擦拭湿巾1张,0,0.3,0.1
为伟红苹果保鲜自封袋240mm*340mm 10号(S),3003689463385,100个/包,0,26.7,15.8
为伟红苹果保鲜自封袋240mm*340mm 10号(S),3008966000611,1个,0,0.2,0.2
为伟红苹果保鲜自封袋240mm*340mm 10号(S),3001392998767,10个,0,2.7,1.6
企鹅团团 一次性牙签 竹子牙签 家用牙签 500支／盒,6977196400188,1瓶,0,3.6,1.9
企鹅团团 一次性牙签 竹子牙签 家用牙签 500支／盒,3002640740435,翻盖-双尖*10瓶,0,11.3,0.2
佰凌 蟑螂屋20g 粘板捕捉器家用厨房诱捕蟑螂蟑螂屋粘板粘蟑螂／张,6970081490080,1张,0,0.9,0.6
佰凌 蟑螂屋20g 粘板捕捉器家用厨房诱捕蟑螂蟑螂屋粘板粘蟑螂／张,3002577002118,5张,0,5,3
元气森林 冰茶 白桃茉莉茶饮料900ml/瓶 维C减糖解腻大瓶装果味茶,6937003703413,900ml*1瓶,0,4.5,3.9
元气森林冰茶绿冰蜜茉莉味绿茶饮料饮料大瓶 900ml/瓶,6937003707251,1瓶,0,4.6,3.83
元气森林 冰茶 葡萄柚绿茶饮料900ml/瓶 清爽无负担浓郁真茶真果汁融合大瓶装,6937003703437,900ml*1瓶,0,4.5,3.9
元气森林气泡水VC柠檬味480ml*15,6975176783740,480ml*15瓶,0,71.4,57.1
元气森林 0糖0脂0卡冰爆小青柠味苏打气泡水 480ml/瓶 新老包装随机,6975176783733,480ml*1瓶,0,5,3.9
农夫山泉 电解质柠檬风味550ml/瓶 解渴补水饮料运动低糖充能,6921168563869,0,0,5,3.9
农夫山泉 电解质西柚风味550ml/瓶 解渴运动补水饮料低糖健身充能,6921168563883,0,0,5,3.9
农夫山泉 力量帝维他命水 柚子复合风味 500ml/瓶,6921168599134,500ml,0,4.5,3.8
农夫山泉 维他命水柠檬味 500ml 1瓶/份,6921168550128,500ml,0,4.5,3.8
农夫山泉 柠檬风味苏打水410ml/瓶 轻负担0糖0卡0脂天然弱碱性饮品水果味饮料,6921168595006,410ml,0,3.5,2.9
农夫山泉 茶Π柚子绿茶 500ML,6921168593576,500ml,0,4.7,3.9
农夫山泉 茶π茶派 柠檬红茶 500ml/瓶,6921168593583,500ml,0,4.7,3.9
可心柔 V9婴儿柔纸巾 40抽/包 富含保湿因子宝宝面巾纸云柔巾保湿纸乳霜抽纸,6957270970264,【9137-40抽/包】,0,1.8,1.4
外星人维B水 柑橘口味500ml,6937003706575,0,0,4.6,3.9
元气森林 外星人电解质水运动饮料原味600ml/瓶 运动营养食品运动后恢复类,6937003707145,600ml*瓶,0,5.1,4.5
娃哈哈饮用纯净水国产哇哈哈非矿泉水饮用水 2.15L/瓶,6902083815677,0,0,3.5,2.2
娃哈哈 乳酸菌饮品营养早餐益生菌饮料6种乳酸菌发酵 100ml/瓶,6902083905286,100ml*1瓶,0,1.7,1.5
宜简 柠檬味苏打水360ml/瓶 0糖果香真弱碱水果风味清凉饮品,6950549800989,0,0,2.5,2.1
宾王 长牌纸牌NO.168 川牌四川长牌水浒传人物扑克牌115张5个头副幺地公棋牌室/盒,6924183907465,1,0,3.6,2.9
尼龙绳子 编织绳子吊秧绳全新料绳子船用绳子货车拉绳晾衣绳压膜绳／米(需要几米拍几份),3005126424775,直径5毫米蓝色*10米,0,3.4,2
尼龙绳子 编织绳子吊秧绳全新料绳子船用绳子货车拉绳晾衣绳压膜绳／米(需要几米拍几份),3000266834163,直径5毫米蓝色*1米,0,0.5,0.2
山山 苍蝇纸 苍蝇贴强力粘苍蝇纸粘蝇板灭蝇神器蝇子蚊子克星捕捉器／张,6937640202461,10张,0,4,3
山山 苍蝇纸 苍蝇贴强力粘苍蝇纸粘蝇板灭蝇神器蝇子蚊子克星捕捉器／张,3003703104058,1张,0,0.5,0.3
康师傅热带风味冰红茶饮料500mL 1瓶/份,6922456847395,500ml,0,3,2.2
得力快干油性记号笔物流用大头笔马克笔粗头大容量勾线笔防水不掉色笔学生文具办公用品/支,6921734920966,蓝10支,0,13.7,7.5
得力快干油性记号笔物流用大头笔马克笔粗头大容量勾线笔防水不掉色笔学生文具办公用品/支,6935205372833,蓝1支,0,1.8,0.8
得力 不干胶A4打印纸 不干胶标签白标签贴纸激光背胶打印贴纸/张,3008748145080,1张,0,0.5,0.3
得力8308 塑料文件袋a4按扣文件袋资料袋文具袋（透明）1个,6921734963437,1,0,1.2,0.8
得力A4透明按扣文件袋资料袋档案袋白色1个,3007516845191,1个,0,1.2,0.7
德沃多 植物通用型营养液35ml发财树绿萝花卉盆栽花肥绿叶花卉多肉小支液体水培营养液/瓶,6940296808154,35ml*6,0,24.3,17.2
德沃多 植物通用型营养液35ml发财树绿萝花卉盆栽花肥绿叶花卉多肉小支液体水培营养液/瓶,6940296802589,35ml,0,4.2,2.9
心相印商务小200抽抽纸RDT200,6903244952736,400张*3袋,0,14.1,8.3
心相印商务小200抽抽纸RDT200,6903244952446,400张*1袋,0,7.7,2.8
搬家打包袋灰色  超大号收纳袋加厚防潮特大号的手提行李袋塑料袋子【多规格可选】,3007953692617,中号55*80*1个,0,0.6,0.2
搬家打包袋灰色  超大号收纳袋加厚防潮特大号的手提行李袋塑料袋子【多规格可选】,3002325542071,中号55*80*10个,0,2.5,2
搬家打包袋灰色  超大号收纳袋加厚防潮特大号的手提行李袋塑料袋子【多规格可选】,3006454491118,超大号85*120*10个,0,12.9,5
搬家打包袋灰色  超大号收纳袋加厚防潮特大号的手提行李袋塑料袋子【多规格可选】,3003225577774,超大号85*120*1个,0,1.5,0.5
方形烤肉纸 尺寸可选烧烤纸吸油纸食物专用硅油纸烤盘烤箱烘焙油纸烘焙垫纸烤盘纸/张,3008515637398,15*20cm*1张,0,0.1,0.1
方形烤肉纸 尺寸可选烧烤纸吸油纸食物专用硅油纸烤盘烤箱烘焙油纸烘焙垫纸烤盘纸/张,3002860012213,15*20cm *50张/包,0,6,2.8
方形烤肉纸 尺寸可选烧烤纸吸油纸食物专用硅油纸烤盘烤箱烘焙油纸烘焙垫纸烤盘纸/张,3007650856718,20*30cm*1张,0,0.2,0.1
方形烤肉纸 尺寸可选烧烤纸吸油纸食物专用硅油纸烤盘烤箱烘焙油纸烘焙垫纸烤盘纸/张,3004351591115,20*30cm*50张,0,9,4.6
晨才 记号笔700 8支/盒 颜色黑,6921980658019,一支,0,1.5,1
晨才 记号笔700 8支/盒 颜色黑,3002598832114,8支,0,14.5,8
景田 饮用纯净水560ml*24瓶 小瓶装清冽甘甜会议商务办公饮用水囤货装,6944649700157,560ml*24,0,28.8,22.7
束口晒鞋防黄袋 规格可选小白鞋鞋套无纺布鞋子收纳袋白鞋防尘晾鞋袋／个,3008596044016,中号32*38cm*1个,0,0.3,0.2
束口晒鞋防黄袋 规格可选小白鞋鞋套无纺布鞋子收纳袋白鞋防尘晾鞋袋／个,3004322023133,中号32*38cm*10个,0,2.7,2
束口晒鞋防黄袋 规格可选小白鞋鞋套无纺布鞋子收纳袋白鞋防尘晾鞋袋／个,3003400620615,大号32*48cm*1个,0,0.3,0.2
束口晒鞋防黄袋 规格可选小白鞋鞋套无纺布鞋子收纳袋白鞋防尘晾鞋袋／个,3000690998776,大号32*48cm*10个,0,3,2
果子熟了 茶饮料茉莉龙井0糖0卡0脂970ml/瓶,6973497203336,970ml,0,5.9,5.65
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3008465347415,10厘米淬火钢钉,0,0.7,0.6
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3004667282776,10厘米淬火钢钉*50起购,0,37.5,30
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3002886929519,2.5厘米钢钉,0,0.1,0.1
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3001391779411,2.5厘米钢钉*50起购,0,6.3,5
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3007506899418,4厘米淬火钢钉,0,0.2,0.1
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3002523906712,4厘米淬火钢钉*50起购,0,8.1,5
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3009049347586,6厘米淬火钢钉,0,0.3,0.2
水泥钉钢钉 钉子墙钉铁钉洋钉木工钉圆钉水泥钉砖钉混凝土钉子相框钉装修挂钩墙钉/颗,3002857019614,6厘米淬火钢钉*50起购,0,10.8,10
【款式可选永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3008809214212,1包（6个）,0,2.3,0.9
【款式可选永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3003013032812,1个,0,0.2,0.2
【款式可选】永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3002269929150,1包（6个）,0,2.3,0.9
【款式可选】永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3006296691318,1个,0,0.2,0.2
【款式可选】永吉 百日之喜红包大号8.5*16.5cm加厚红包喜字通用生日红包/个,3000186366584,1包（6个）,0,2.3,0.9
【款式可选】永吉 百日之喜红包大号8.5*16.5cm加厚红包喜字通用生日红包/个,3000409925987,1个,0,0.2,0.2
【款式可选永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3005743387699,1包（6个）,0,2.3,0.9
【款式可选永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3000224240869,1个,0,0.2,0.2
【款式可选】永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3007600581110,1包（6个）,0,2.3,0.9
【款式可选】永吉 红包大号8.5*16.5cm加厚红包封压岁钱结婚喜字堵门通用生日红包/个,3005963380418,1个,0,0.2,0.2
江小白 40度高粱酒300ml/瓶 小聚小饮便携包装年轻白酒,6938514100630,300ml*1瓶,0,34.8,34.1
海氏海诺 一次性医用冰袋无需冷藏1份 一捏速冷冰袋物理降温退热冰敷消肿扭伤急救【规格可选】,6925923793089,1袋,0,2.9,1.4
海氏海诺 一次性医用冰袋无需冷藏1份 一捏速冷冰袋物理降温退热冰敷消肿扭伤急救【规格可选】,3006393572718,6袋,0,11,8.4
【28*38cm】烘焙隔油纸 餐盘纸薯条防油垫纸三明治美式包装纸餐纸长方形一次性托盘纸/张,3008722613710,28*38cm*10张,0,2.7,1
【28*38cm】烘焙隔油纸 餐盘纸薯条防油垫纸三明治美式包装纸餐纸长方形一次性托盘纸/张,3000102061357,28*38cm*1张,0,0.3,0.1
【加厚材质】不锈钢烧烤签 33cm扁签烧烤针钢钎羊肉牛肉串穿串签铁签烤肉签子/份 10支装,3004212846590,,0,3.5,1.2
热敏纸打印纸 57x50mm餐厅超市外卖专业收银纸小票纸pos打印纸无粉尘不卡纸/卷,3003096835546,57*50mm,0,1.5,0.7
真露 13度李子味烧酒360ml/瓶 微醺韩式甜酒浓郁李子利口酒,8801048178308,360ml,0,9.5,9.2
真露 13度西柚味烧酒360ml/瓶 西柚果酸平衡油腻利口甜酒追剧搭子,8801048921003,360ml,0,9.5,9.2
石膏板专用膨胀螺丝套装 飞机型/蝴蝶型可选塑料飞机膨胀螺丝钉蝴蝶型螺丝管膨胀自攻螺丝/个,3000754890718,灰色蝴蝶型5颗装,0,1.5,0.5
石膏板专用膨胀螺丝套装 飞机型/蝴蝶型可选塑料飞机膨胀螺丝钉蝴蝶型螺丝管膨胀自攻螺丝/个,3009265071685,灰色蝴蝶型1颗,0,0.3,0.1
石膏板专用膨胀螺丝套装 飞机型/蝴蝶型可选塑料飞机膨胀螺丝钉蝴蝶型螺丝管膨胀自攻螺丝/个,3005973593693,灰色蝴蝶型1颗*50,0,14.3,5
石膏板专用膨胀螺丝套装 飞机型/蝴蝶型可选塑料飞机膨胀螺丝钉蝴蝶型螺丝管膨胀自攻螺丝/个,3006466290211,白色飞机型5颗装,0,1.5,0.5
石膏板专用膨胀螺丝套装 飞机型/蝴蝶型可选塑料飞机膨胀螺丝钉蝴蝶型螺丝管膨胀自攻螺丝/个,3002856069511,白色飞机型1颗,0,0.3,0.1
石膏板专用膨胀螺丝套装 飞机型/蝴蝶型可选塑料飞机膨胀螺丝钉蝴蝶型螺丝管膨胀自攻螺丝/个,3000218058357,白色飞机型1颗*50,0,14.3,5
维达 蓝色经典手帕纸 自然无香 4层7张/包（新老包装随机）,6901236343036,1包,0,0.6,0.4
【鸡肉+鱼籽味】网易严选猫用小满罐宠物零食罐美毛补水猫罐湿粮营养50g,6906628570229,50g*6,0,15.6,10.8
【鸡肉+鱼籽味】网易严选猫用小满罐宠物零食罐美毛补水猫罐湿粮营养50g,3007552066758,50g,0,5.2,1.8
网易天成 严选浓汤红肉罐头85g/罐 金枪鸡丝成猫幼猫补水零食罐,6906628260540,0,0,3.9,3
脆丁丁 涪陵榨菜开袋即食下饭菜下饭下酒小菜早餐配粥53g*8包,6972068532233,53克*8包,0,9.5,8.2
脆丁丁 涪陵榨菜开袋即食下饭菜下饭下酒小菜早餐配粥53g*8包,3006718414730,53克*1包,0,1.4,1.1
脉动电解质+青柠口味运动饮料600ml/瓶,6902538009101,600ml/瓶,0,5,3.8
艾草香棒 强效户外香薰防虫香薰防蚊香棒艾叶防蚊虫家用庭院花园室内户外钓鱼野营用品／支,3004408391613,5支,0,0.7,0.5
艾草香棒 强效户外香薰防虫香薰防蚊香棒艾叶防蚊虫家用庭院花园室内户外钓鱼野营用品／支,3000683925857,1支,0,0.3,0.1
花王蒸汽眼罩热敷（玫瑰型）12片/盒,4901301348098,12片,0,29.4,18.4
花王蒸汽眼罩热敷（玫瑰型）12片/盒,3000400599019,1片,0,2.7,1.6
【简易安装】被子固定器 床单防滑被套扣安全夹子棉被防跑被罩可拆卸可重复使用家用学生宿舍/个,3006530785810,【颜色随机 被套夹*8个,0,7.3,4
【简易安装】被子固定器 床单防滑被套扣安全夹子棉被防跑被罩可拆卸可重复使用家用学生宿舍/个,3001627399574,【颜色随机 被套夹*1个】,0,0.9,0.5
重庆啤酒8度国宾啤酒500ml*3听黄啤,3004917269748,500ml*3,0,15.2,12.6
重庆啤酒 9.5°P国宾醇麦啤酒 500ml/听,6903133771875,500ml,0,5,4.2
12寸网红金属气球 银色气球金属色表白求婚氛围生日派对婚庆装饰加厚乳胶气球/个,3003597946673,10个装,0,4,1.4
12寸网红金属气球 银色气球金属色表白求婚氛围生日派对婚庆装饰加厚乳胶气球/个,3007705922733,1个装,0,0.5,0.2
12寸网红金属气球 银色气球金属色表白求婚氛围生日派对婚庆装饰加厚乳胶气球/个,3007381070360,50个装*1,0,14.4,6.9
金领6171牛皮信封1个,3003513838174,1,0,0.6,0.45
钢锯条弓锯条 30cm家用钢锯多功能手工金属切割锯木工锯子锯铁锯条锯片/根,3000501230118,一条,0,0.9,0.5
锐澳RIO强爽8度0糖翡翠葡萄伏特加鸡尾酒500ml*6,3007908227093,500ml*6,0,65.6,54.6
锐澳RIO强爽8度0糖翡翠葡萄伏特加鸡尾酒500ml*3,3001384240317,500ml*3,0,32.8,27.3
锐澳RIO 8度强爽0糖翡翠葡萄伏特加味鸡尾酒500ml/听 低卡0糖畅饮无负担气泡酒,6935145317048,500ml,0,10.9,9.1
锐澳RIO微醺3度乐橘乌龙伏特加330ml*6,3006737001010,330ml*6,0,38.9,32.4
【3罐】Rio锐澳 微醺3°乐橘乌龙鸡尾酒 330ml*3罐 预调酒,3008579238265,330ml*3,0,19.5,16.2
锐澳RIO 清爽5度气泡鸡尾酒葡萄伏特加风味500ml/罐,6935145341142,500ml*1罐,0,8.2,6.8
RIO锐澳 清爽5度 春见白桃伏特加风味气泡鸡尾酒 330ml*6罐 zxc,3005709502210,330ml*6,0,32.4,27
锐澳RIO清爽5度春见白桃伏特加风味气泡鸡尾酒330ml*3,3000152079555,330ml*3,0,18,13.5
锐澳RIO 5度清爽春见白桃伏特加味鸡尾酒330ml/听 清爽轻负担低度气泡果酒预调酒,6935145341043,330ml,0,5.4,4.5
RIO锐澳 清爽5度 阳光玫瑰葡萄伏特加风味气泡鸡尾酒 330ml*6罐 zxc,3002494771487,330ml*6,0,32.4,27
锐澳RIO清爽5度阳光玫瑰葡萄伏特加风味气泡鸡尾酒330ml*3,3009950701019,330ml*3,0,18,13.5
锐澳RIO 5度清爽阳光玫瑰葡萄伏特加味鸡尾酒330ml/听 低度预调鸡尾气泡果酒便携装,6935145341050,330ml,0,5.4,4.5
锐澳RIO轻享金桂梅酒风味鸡尾酒（预调酒）300ml*6,3005607319316,300ml*6,0,80,66.6
锐澳RIO轻享金桂梅酒风味鸡尾酒（预调酒）300ml*3,3007630665217,300ml*3,0,40,33.3
锐澳RIO 12度轻享金桂梅酒风味鸡尾酒300ml/瓶 低度微醺气泡酒果酒甜酒休闲聚会,6974854280434,300ml,0,11.4,11.1
镀锌扎丝绑丝工地建筑扎丝DIY手工铁丝线防锈截断丝细铁丝钢筋 30cm／根,3008895324017,长30厘米一根,0,0.3,0.1
镀锌扎丝绑丝工地建筑扎丝DIY手工铁丝线防锈截断丝细铁丝钢筋 30cm／根,3004286337345,30厘米一根*10,0,2.7,1
[小规格]阿飞和巴弟猫罐头鸡肉配方(纯罐)85g/罐,6971024155448,阿飞和巴弟纯罐白肉猫罐头85g|鸡肉,0,5.4,4.3
雪花啤酒 2.9°P清爽啤酒500ml*6听 低度微醺麦香淡雅畅饮无压力组合装,3008424408645,500ml*6,0,21.3,20.4
【整箱】雪花 清爽啤酒2.9度听装500ml*12,6949352201915,500ml*12,0,49,40.8
雪花 清爽啤酒2.9°P听装 500ml,6949352201748,500ml,0,3.6,3.4
雪花 8°P纯生啤酒 500ml*6听/箱 匠心营造,3004094581213,500ml*6,0,41.8,34.8
雪花 8°P纯生啤酒500ml/听*3 小酌微醺浓郁麦香,3006242158674,500ml*3,0,20.9,17.4
雪花纯生啤酒听装500ml*12 听 新旧随机,6949352200482,500ml*12,0,83.3,69.5
