内部商品名称,内部规格,内部条码,内部销售价,总销量,进货价,外部商品名称,外部规格,外部活动价,外部原价,匹配结果,商品分类,线上原价,线上活动价,定价类型,线下价格
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,混色10个装,3004513912772,1.0,0,0.6,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(低毛利),0.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,粉色100个装,3004176017517,10.8,0,5.5,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,马卡粉100个*1包,16.5,18.0,模糊匹配,C,18.2,16.5,普通商品(中毛利),10.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,粉色10个装,3005121031718,1.0,0,0.6,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(低毛利),0.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,紫色100个装,3007435006215,10.8,0,5.5,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,马卡粉100个*1包,16.5,18.0,模糊匹配,C,18.2,16.5,普通商品(中毛利),10.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,紫色10个装,3005867547016,1.0,0,0.6,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(低毛利),0.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,红色100个装,3000592963810,10.8,0,5.5,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,马卡粉100个*1包,16.5,18.0,模糊匹配,C,18.2,16.5,普通商品(中毛利),10.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,红色10个装,3003010756414,1.0,0,0.6,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(低毛利),0.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,蓝色100个装,3006453417386,10.8,0,5.5,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,马卡粉100个*1包,16.5,18.0,模糊匹配,C,18.2,16.5,普通商品(中毛利),10.9
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,蓝色10个装,3000156293889,1.0,0,0.6,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(低毛利),0.9
RedBull/红牛 红牛维生素功能饮料 250ml/罐,0,6920202888883,6.0,0,4.6,RedBull/红牛红牛维生素功能饮料250ml/罐,,7.8,7.8,条码匹配,C,7.9,7.9,普通商品(低毛利),5.9
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,300ml*20个,3003490753897,13.4,0,8.0,,,,,无匹配,C,28.2,20.2,普通商品(中毛利),16.9
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,300ml*1个,3006657539853,0.7,0,0.4,,,,,无匹配,C,1.5,1.2,普通商品(中毛利),0.9
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,500ml*20个,3008037601211,17.4,0,10.0,,,,,无匹配,C,35.2,25.2,普通商品(中毛利),21.2
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,500ml*1个,3003205930469,0.7,0,0.5,,,,,无匹配,C,1.9,1.2,普通商品(中毛利),1.2
【台球巧克粉】巧克粉台球杆擦枪头粉巧粉皮头粉台球用品皮头粉枪壳粉桌球擦粉台球粉／个,一盒12个,3008960065340,10.8,0,4.8,,,,,无匹配,C,16.9,12.2,普通商品(中毛利),10.2
【台球巧克粉】巧克粉台球杆擦枪头粉巧粉皮头粉台球用品皮头粉枪壳粉桌球擦粉台球粉／个,一个,3006159332273,1.2,0,0.4,,,,,无匹配,C,1.5,1.2,普通商品(中毛利),0.9
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,白光面一个,3009554491514,0.3,0,0.1,【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,40mm+黄色*1个（10个起订）,4.5,0.45,模糊匹配,C,0.5,,普通商品(高毛利),0.2
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,白光面10个,3003804640219,2.7,0,1.0,【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,40mm+黄色*1个,0.29,0.5,模糊匹配,C,0.5,0.2,普通商品(低毛利),1.2
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,黄光面一个,3009177168978,0.3,0,0.1,【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,40mm+黄色*1个（10个起订）,4.5,0.45,模糊匹配,C,0.5,,普通商品(高毛利),0.2
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,黄光面10个,3007609145016,2.7,0,1.0,【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,40mm+黄色*1个,0.29,0.5,模糊匹配,C,0.5,0.2,普通商品(低毛利),1.2
【独立包装】一次性叉勺 加厚布丁勺甜品勺点心叉生日蛋糕餐具一次性勺子叉子一体勺/个,1个（随机颜色）,3005043852415,0.2,0,0.1,【独立包装】一次性叉勺加厚布丁勺甜品勺点心叉生日蛋糕餐具一次性勺子叉子一体勺／个,颜色随机*1个,0.15,0.18,模糊匹配,C,0.2,0.2,普通商品(中毛利),0.2
【抽绳垃圾袋】手提式抽绳垃圾袋 40*50cm*15只抽绳式塑料袋/卷(颜色随机无包装),15只*10卷,3008466678372,16.7,0,8.0,垃圾袋,,,1.62,模糊匹配,C,1.9,1.9,普通商品(低毛利),10.2
【抽绳垃圾袋】手提式抽绳垃圾袋 40*50cm*15只抽绳式塑料袋/卷(颜色随机无包装),【45*50】15只*1卷,3006567951110,1.7,0,0.8,垃圾袋,,,1.62,模糊匹配,C,1.9,1.9,普通商品(中毛利),1.2
【规格可选】带盖牛皮纸一次性打包盒 圆形汤碗冰粉碗饭盒外卖纸碗一次性餐盒碗/个,1000ml*1个,3005761027669,0.9,0,0.4,【规格可选】带盖牛皮纸一次性打包盒圆形汤碗冰粉碗饭盒外卖纸碗一次性餐盒碗／个,500ml*1个(盖随机),0.45,0.8,模糊匹配,C,0.9,0.5,普通商品(中毛利),0.5
【规格可选】带盖牛皮纸一次性打包盒 圆形汤碗冰粉碗饭盒外卖纸碗一次性餐盒碗/个,1000ml*10个,3004610598145,11.5,0,4.0,,,,,无匹配,C,14.2,10.2,普通商品(中毛利),8.5
【透明后跟贴】防磨贴女士脚踝贴防磨脚脚后跟贴高跟鞋贴防掉跟半码贴防脱/个（规格随机）,1包（10张）,3009870227118,2.0,0,0.7,【海绵后跟贴】贴防掉跟防磨一码脚后跟防磨贴高跟鞋半码垫海绵高跟鞋脚跟贴／双(颜色随机),颜色随机*1份,1.88,2.0,模糊匹配,C,2.2,1.9,普通商品(中毛利),1.5
【透明后跟贴】防磨贴女士脚踝贴防磨脚脚后跟贴高跟鞋贴防掉跟半码贴防脱/个（规格随机）,1张,3007146037928,0.3,0,0.1,,,,,无匹配,C,0.5,0.2,普通商品(高毛利),0.2
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3号牛皮船盒*1个,3000059680243,0.3,0,0.2,【防水防油】一次性牛皮纸敞口船盒尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子／个,3号*1个(10个起购),3.5,0.35,模糊匹配,C,0.5,,普通商品(中毛利),0.5
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,3号牛皮船盒*10个,3003301544010,2.2,0,2.0,【防水防油】一次性牛皮纸敞口船盒尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子／个,5号*1个(长17.4*宽12.4cm）,0.7,0.8,模糊匹配,C,0.9,0.9,普通商品(低毛利),2.5
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,4号牛皮船盒*1个,3000629075714,0.4,0,0.2,【防水防油】一次性牛皮纸敞口船盒尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子／个,3号*1个(长14.5*宽9.6cm）,0.2,0.4,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,4号牛皮船盒*10个,3001593593143,3.3,0,2.0,【防水防油】一次性牛皮纸敞口船盒尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子／个,5号*1个(长17.4*宽12.4cm）,0.7,0.8,模糊匹配,C,0.9,0.9,普通商品(低毛利),2.5
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,5号牛皮船盒*1个,3004160490968,0.5,0,0.2,【防水防油】一次性牛皮纸敞口船盒尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子／个,4号*1个(10个起购),5.5,0.55,模糊匹配,C,0.5,,普通商品(中毛利),0.5
【防水防油】一次性牛皮纸敞口船盒 尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子/个,5号牛皮船盒*10个,3000967690013,4.4,0,2.0,【防水防油】一次性牛皮纸敞口船盒尺寸可选一次性牛皮纸盘餐盘餐盒盒子薯条盒烧烤打包盒子／个,5号*1个(长17.4*宽12.4cm）,0.7,0.8,模糊匹配,C,0.9,0.9,普通商品(低毛利),2.5
【防滑无痕】多功能裤夹 裤架防滑夹子衣夹防风家用无痕jk衣架挂衣收纳不锈钢裙夹晾晒裤夹/个,白色*10个,3006498950282,12.0,0,7.0,衣架,,,4.63,模糊匹配,C,4.9,4.9,普通商品(低毛利),8.9
【防滑无痕】多功能裤夹 裤架防滑夹子衣夹防风家用无痕jk衣架挂衣收纳不锈钢裙夹晾晒裤夹/个,白色*1个,3005182758920,1.2,0,0.7,衣架,,,4.63,模糊匹配,C,4.9,4.9,普通商品(高毛利),2.2
【防磕防碰】L型防撞角 加厚加宽护角桌角保护套桌子包角宝宝婴儿防磕角转角贴/个,防撞角-纯白L型加厚角*4个,3009720458570,3.5,0,2.0,【防磕防碰】L型防撞角加厚加宽护角桌角保护套桌子包角宝宝婴儿防磕角转角贴／个,绿色*1个,0.49,1.5,模糊匹配,C,1.5,0.5,普通商品(低毛利),2.5
【防磕防碰】L型防撞角 加厚加宽护角桌角保护套桌子包角宝宝婴儿防磕角转角贴/个,防撞角-纯白L型加厚角*1个,3006279048726,0.9,0,0.5,【防磕防碰】L型防撞角加厚加宽护角桌角保护套桌子包角宝宝婴儿防磕角转角贴／个,白色*1个(4个起购),5.1,1.3,模糊匹配,C,1.5,,普通商品(中毛利),0.9
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,粉色（不含气体）*10,3002627376947,8.6,0,3.0,【颜色可选】16寸铝膜气球happybirthday字母生日快乐铝膜气球派对布置装饰／套,玫瑰金*1套,8.5,8.5,模糊匹配,C,8.5,8.5,普通商品(中毛利),5.2
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,粉色（不含气体）,3000911918019,0.4,0,0.3,,,,,无匹配,C,1.2,0.9,普通商品(中毛利),0.9
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,银色（不含气体）*10,3007194944360,8.6,0,3.0,【颜色可选】16寸铝膜气球happybirthday字母生日快乐铝膜气球派对布置装饰／套,玫瑰金*1套,8.5,8.5,模糊匹配,C,8.5,8.5,普通商品(中毛利),5.2
【颜色可选】18寸爱心铝膜气球 纯色粉色银色婚庆生日派对布置装饰铝箔铝膜气球/个,银色（不含气体）,3006864202939,0.4,0,0.3,,,,,无匹配,C,1.2,0.9,普通商品(中毛利),0.9
麦里一次性擦眼镜湿巾 眼镜布镜片擦拭湿巾手机屏募清洁湿巾/件（新老包装随机） 清洁布,眼镜擦拭湿巾100张*1盒,6973075239818,6.9,0,2.4,有友泡椒豆干90g／袋（新老包装随机）,,5.5,6.5,模糊匹配,C,6.5,5.5,普通商品(中毛利),3.9
麦里一次性擦眼镜湿巾 眼镜布镜片擦拭湿巾手机屏募清洁湿巾/件（新老包装随机） 清洁布,眼镜擦拭湿巾1张,3000752760860,0.3,0,0.1,,,,,无匹配,C,0.5,0.2,普通商品(高毛利),0.2
为伟红苹果保鲜自封袋240mm*340mm 10号(S),100个/包,3003689463385,26.7,0,15.8,,,,,无匹配,C,55.5,39.5,普通商品(中毛利),33.2
为伟红苹果保鲜自封袋240mm*340mm 10号(S),1个,3008966000611,0.2,0,0.2,,,,,无匹配,C,0.9,0.5,普通商品(中毛利),0.5
为伟红苹果保鲜自封袋240mm*340mm 10号(S),10个,3001392998767,2.7,0,1.6,,,,,无匹配,C,5.9,4.2,普通商品(中毛利),3.5
企鹅团团 一次性牙签 竹子牙签 家用牙签 500支／盒,1瓶,6977196400188,3.6,0,1.9,芯乐美双头木棒棉签200支／盒一次性棉签化妆用棉签,,3.67,4.5,模糊匹配,C,4.5,3.9,普通商品(中毛利),2.9
企鹅团团 一次性牙签 竹子牙签 家用牙签 500支／盒,翻盖-双尖*10瓶,3002640740435,11.3,0,0.2,,,,,无匹配,C,0.9,0.5,普通商品(中毛利),0.5
佰凌 蟑螂屋20g 粘板捕捉器家用厨房诱捕蟑螂蟑螂屋粘板粘蟑螂／张,1张,6970081490080,0.9,0,0.6,佰凌蟑螂屋20g粘板捕捉器家用厨房诱捕蟑螂蟑螂屋粘板粘蟑螂／张,20g*1张（5张起购）,7.5,1.5,模糊匹配,C,1.5,,普通商品(中毛利),0.9
佰凌 蟑螂屋20g 粘板捕捉器家用厨房诱捕蟑螂蟑螂屋粘板粘蟑螂／张,5张,3002577002118,5.0,0,3.0,佰凌蟑螂屋20g粘板捕捉器家用厨房诱捕蟑螂蟑螂屋粘板粘蟑螂／张,20g*1张,2.0,2.0,模糊匹配,C,2.2,2.2,普通商品(低毛利),3.9
元气森林 冰茶 白桃茉莉茶饮料900ml/瓶 维C减糖解腻大瓶装果味茶,900ml*1瓶,6937003703413,4.5,0,3.9,元气森林新品冰茶大瓶装减糖白桃茉莉饮料900ml/瓶,,4.99,6.5,条码匹配,C,6.5,4.9,普通商品(低毛利),4.9
元气森林冰茶绿冰蜜茉莉味绿茶饮料饮料大瓶 900ml/瓶,1瓶,6937003707251,4.6,0,3.83,康师傅茉莉蜜茶饮料500ml／瓶清爽香醇茉莉味调味茶饮品休闲饮料,500ml/瓶,3.2,3.5,模糊匹配,C,3.5,3.2,普通商品(低毛利),4.9
元气森林 冰茶 葡萄柚绿茶饮料900ml/瓶 清爽无负担浓郁真茶真果汁融合大瓶装,900ml*1瓶,6937003703437,4.5,0,3.9,【元气森林】元气森林新品冰茶大瓶装减糖葡萄柚冰绿茶饮料900ml/瓶,,6.5,6.5,条码匹配,C,6.5,6.5,普通商品(低毛利),4.9
元气森林气泡水VC柠檬味480ml*15,480ml*15瓶,6975176783740,71.4,0,57.1,水溶C100柠檬味复合果汁饮料445ml*15瓶/箱,,74.0,75.0,模糊匹配,C,75.2,74.2,普通商品(低毛利),71.5
元气森林 0糖0脂0卡冰爆小青柠味苏打气泡水 480ml/瓶 新老包装随机,480ml*1瓶,6975176783733,5.0,0,3.9,元气森林夏黑葡萄味苏打气泡水480ml（新老包装随机）,,6.0,6.0,模糊匹配,C,6.2,6.2,普通商品(低毛利),4.9
农夫山泉 电解质柠檬风味550ml/瓶 解渴补水饮料运动低糖充能,0,6921168563869,5.0,0,3.9,农夫山泉苏打矿泉水饮品柠檬风味410ml/瓶,,,4.26,模糊匹配,C,4.2,4.2,普通商品(低毛利),4.9
农夫山泉 电解质西柚风味550ml/瓶 解渴运动补水饮料低糖健身充能,0,6921168563883,5.0,0,3.9,农夫山泉尖叫西柚味多肽型运动饮料550ml／瓶健身运动快速补充多肽与电解质功能型饮品,550ml/瓶,5.28,5.5,模糊匹配,C,5.5,5.2,普通商品(低毛利),4.9
农夫山泉 力量帝维他命水 柚子复合风味 500ml/瓶,500ml,6921168599134,4.5,0,3.8,【单瓶】农夫山泉力量帝维他命水蓝莓树莓风味500ml/瓶,,6.0,6.0,模糊匹配,C,6.2,6.2,普通商品(低毛利),4.9
农夫山泉 维他命水柠檬味 500ml 1瓶/份,500ml,6921168550128,4.5,0,3.8,【单瓶】农夫山泉力量帝维他命柠檬风味500ml/瓶,,6.8,6.8,条码匹配,C,6.9,6.9,普通商品(低毛利),4.9
农夫山泉 柠檬风味苏打水410ml/瓶 轻负担0糖0卡0脂天然弱碱性饮品水果味饮料,410ml,6921168595006,3.5,0,2.9,农夫山泉柠檬风味苏打水410ml／瓶轻负担0糖0卡0脂天然弱碱性饮品水果味饮料,410ml/瓶,4.5,5.0,条码匹配,C,5.2,4.5,普通商品(低毛利),3.9
农夫山泉 茶Π柚子绿茶 500ML,500ml,6921168593576,4.7,0,3.9,农夫山泉茶π茶派柚子绿茶果味茶饮料500ml/瓶,,6.0,6.0,条码匹配,C,6.2,6.2,普通商品(低毛利),4.9
农夫山泉 茶π茶派 柠檬红茶 500ml/瓶,500ml,6921168593583,4.7,0,3.9,农夫山泉茶π茶派柠檬红茶果味茶饮料500ml/瓶,,6.0,6.0,条码匹配,C,6.2,6.2,普通商品(低毛利),4.9
可心柔 V9婴儿柔纸巾 40抽/包 富含保湿因子宝宝面巾纸云柔巾保湿纸乳霜抽纸,【9137-40抽/包】,6957270970264,1.8,0,1.4,可心柔婴儿保湿纸40抽／包乳霜纸柔软保湿面巾抽纸富含保湿因子婴儿宝宝抽纸巾便携装户外,40抽/包,3.2,3.5,条码匹配,C,3.5,3.2,普通商品(中毛利),2.2
外星人维B水 柑橘口味500ml,0,6937003706575,4.6,0,3.9,外星人-维生素水-维B水-柑橘PET500ml,,,5.4,模糊匹配,C,5.5,5.5,普通商品(低毛利),4.9
元气森林 外星人电解质水运动饮料原味600ml/瓶 运动营养食品运动后恢复类,600ml*瓶,6937003707145,5.1,0,4.5,元气森林外星人白葡萄芦荟风味电解质水500ml／瓶0糖轻负担运动后补水快速恢复活力,500ml/瓶,5.5,6.5,模糊匹配,C,6.5,5.5,普通商品(低毛利),5.9
娃哈哈饮用纯净水国产哇哈哈非矿泉水饮用水 2.15L/瓶,0,6902083815677,3.5,0,2.2,,,,,无匹配,C,7.9,5.5,普通商品(中毛利),4.9
娃哈哈 乳酸菌饮品营养早餐益生菌饮料6种乳酸菌发酵 100ml/瓶,100ml*1瓶,6902083905286,1.7,0,1.5,娃哈哈0脂肪乳酸菌饮品100ml/瓶,100ml*1瓶,2.5,2.5,条码匹配,C,2.5,2.5,普通商品(低毛利),1.9
宜简 柠檬味苏打水360ml/瓶 0糖果香真弱碱水果风味清凉饮品,0,6950549800989,2.5,0,2.1,神农溪天然苏打水360ml/瓶,,3.0,3.0,模糊匹配,C,3.2,3.2,普通商品(低毛利),2.9
宾王 长牌纸牌NO.168 川牌四川长牌水浒传人物扑克牌115张5个头副幺地公棋牌室/盒,1,6924183907465,3.6,0,2.9,宾王长牌纸牌NO.168川牌四川长牌水浒传人物扑克牌115张5个头副幺地公棋牌室／盒,1副*1盒,4.5,5.5,模糊匹配,C,5.5,4.5,普通商品(中毛利),3.2
尼龙绳子 编织绳子吊秧绳全新料绳子船用绳子货车拉绳晾衣绳压膜绳／米(需要几米拍几份),直径5毫米蓝色*10米,3005126424775,3.4,0,2.0,白色尼龙绳子编织绳子吊秧绳捆绑晾衣绳船用绳子货车拉绳压膜绳／米(需要几米拍几份),10mm*1m,1.39,1.5,模糊匹配,C,1.5,1.5,普通商品(低毛利),2.5
尼龙绳子 编织绳子吊秧绳全新料绳子船用绳子货车拉绳晾衣绳压膜绳／米(需要几米拍几份),直径5毫米蓝色*1米,3000266834163,0.5,0,0.2,白色尼龙绳子编织绳子吊秧绳捆绑晾衣绳船用绳子货车拉绳压膜绳／米(需要几米拍几份),4mm*1m,0.28,0.5,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
山山 苍蝇纸 苍蝇贴强力粘苍蝇纸粘蝇板灭蝇神器蝇子蚊子克星捕捉器／张,10张,6937640202461,4.0,0,3.0,,,,,无匹配,C,10.5,7.5,普通商品(中毛利),6.2
山山 苍蝇纸 苍蝇贴强力粘苍蝇纸粘蝇板灭蝇神器蝇子蚊子克星捕捉器／张,1张,3003703104058,0.5,0,0.3,,,,,无匹配,C,1.2,0.9,普通商品(中毛利),0.9
康师傅热带风味冰红茶饮料500mL 1瓶/份,500ml,6922456847395,3.0,0,2.2,康师傅冰红茶柠檬口味茶饮料500ml*1瓶,,3.48,4.0,模糊匹配,C,4.2,3.5,普通商品(中毛利),2.5
得力快干油性记号笔物流用大头笔马克笔粗头大容量勾线笔防水不掉色笔学生文具办公用品/支,蓝10支,6921734920966,13.7,0,7.5,得力粗头物流油性记号笔6881大头笔/支(颜色可选）,蓝色,1.22,3.0,条码匹配,C,3.2,1.2,普通商品(低毛利),9.5
得力快干油性记号笔物流用大头笔马克笔粗头大容量勾线笔防水不掉色笔学生文具办公用品/支,蓝1支,6935205372833,1.8,0,0.8,得力快干油性记号笔物流用大头笔马克笔粗头大容量勾线笔防水不掉色笔学生文具办公用品／支,红色*1支,2.5,3.0,模糊匹配,C,3.2,2.5,普通商品(中毛利),1.9
得力 不干胶A4打印纸 不干胶标签白标签贴纸激光背胶打印贴纸/张,1张,3008748145080,0.5,0,0.3,得力不干胶A4打印纸不干胶标签白标签贴纸激光背胶打印贴纸／张,牛皮*1张,0.3,0.5,模糊匹配,C,0.5,0.5,普通商品(低毛利),0.5
得力8308 塑料文件袋a4按扣文件袋资料袋文具袋（透明）1个,1,6921734963437,1.2,0,0.8,,,,,无匹配,C,2.9,2.2,普通商品(中毛利),1.9
